第 86
还 骂
骂 后头
后头 就
就 不
不 言语
言语 了
了 薛姨妈
薛姨妈 道
道 怎么
怎么 也
也 没人
没人 劝劝
劝劝 吗
吗 那
那 小厮
小厮 道
道 这个
这个 没
没 听见
听见 大爷
大爷 说
说 小
小 的
的 不敢
不敢 妄言
妄言 薛
薛 姨妈
姨妈 道
道 你
你 先去
先去 歇歇
歇歇 罢
罢 小厮
小厮 答应
答应 出来
出来 这里
这里 薛姨妈
薛姨妈 自来
自来 见
见 王夫人
王夫人 托
托 王夫人
王夫人 转求
转求 贾政
贾政 贾政问
贾政问 了
了 前后
前后 也
也 只好
只好 含糊
含糊 应
应 了
了 只说
只说 等
等 薛蝌
薛蝌 递
递 了
了 呈子
呈子 看
看 他
他 本县
本县 怎么
怎么 批
批 了
了 再作道理
再作道理 这里
这里 薛姨妈
薛姨妈 又
又 在
在 当铺
当铺 里
里 兑
兑 了
了 银子
银子 叫
叫 小厮
小厮 赶着
赶着 去了
去了 三日
三日 后果
后果 有
有 回信
回信 薛姨妈
薛姨妈 接着
接着 了
了 即
即 叫
叫 小丫头
小丫头 告诉
告诉 宝
宝 钗
钗 连忙
连忙 过来
过来 看了
看了 只见
只见 书上
书上 写道
写道 带
带 去
去 银两
银两 做了
做了 衙门
衙门 上下
上下 使费
使费 哥哥
哥哥 在
在 监
监 也
也 不大
不大 吃苦
吃苦 请
请 太太
太太 放心
放心 独是
独是 这里
这里 的
的 人
人 很
很 刁
刁 尸亲
尸亲 见证
见证 都
都 不依
不依 连
连 哥哥
哥哥 请
请 的
的 那个
那个 朋友
朋友 也
也 帮
帮 着
着 他们
他们 我
我 与
与 李祥
李祥 两个
两个 俱系
俱系 生地
生地 生人
生人 幸找
幸找 着
着 一个
一个 好
好 先生
先生 许他
许他 银子
银子 才
才 讨个
讨个 主意
主意 说是
说是 须
须 得
得 拉扯
拉扯 着
着 同
同 哥哥
哥哥 喝
喝 酒
酒 的
的 吴良
吴良 弄
弄 人
人 保出
保出 他
他 来
来 许他
许他 银两
银两 叫
叫 他
他 撕
撕 掳
掳 他
他 若
若 不依
不依 便说
便说 张三是
张三是 他
他 打死
打死 明推
明推 在
在 异乡人
异乡人 身上
身上 他
他 吃不住
吃不住 就
就 好办
好办 了
了 我
我 依着
依着 他
他 果然
果然 吴良
吴良 出来
出来 现在
现在 买嘱
买嘱 尸
尸 亲
亲 见证
见证 又
又 做了
做了 一张
一张 呈子
呈子 前日
前日 递
递 的
的 今日
今日 批来
批来 请
请 看
看 呈
呈 底
底 便知
便知 因
因 又
又 念
念 呈
呈 底
底 道
道 具呈人
具呈人 某
某 呈
呈 为
为 兄
兄 遭
遭 飞祸
飞祸 代
代 伸冤
伸冤 抑事
抑事 窃生
窃生 胞兄
胞兄 薛蟠
薛蟠 本籍
本籍 南京
南京 寄寓
寄寓 西京
西京 于
于 某
某 年月日
年月日 备本
备本 往南
往南 贸易
贸易 去
去 未
未 数日
数日 家奴
家奴 送信
送信 回家
回家 说
说 遭
遭 人命
人命 生即
生即 奔
奔 宪治
宪治 知兄
知兄 误伤
误伤 张姓
张姓 及至
及至 囹圄
囹圄 据
据 兄泣告
兄泣告 实与
实与 张姓
张姓 素
素 不
不 相认
相认 并无
并无 仇隙
仇隙 偶因
偶因 换
换 酒角
酒角 口
口 先兄
先兄 将
将 酒
酒 泼
泼 地
地 恰值
恰值 张三
张三 低头
低头 拾物
拾物 一时
一时 失手
失手 酒碗误
酒碗误 碰
碰 囟门
囟门 身死
身死 蒙恩
蒙恩 拘讯
拘讯 兄惧
兄惧 受刑
受刑 承认
承认 斗殴
斗殴 致死
致死 仰蒙宪天
仰蒙宪天 仁慈
仁慈 知有
知有 冤抑
冤抑 尚未
尚未 定案
定案 生兄
生兄 在
在 禁
禁 具
具 呈
呈 诉辩
诉辩 有
有 干
干 例禁
例禁 生念
生念 手足
手足 冒死
冒死 代
代 呈
呈 伏
伏 乞
乞 宪慈
宪慈 恩准
恩准 提证质
提证质 讯
讯 开恩
开恩 莫大
莫大 生等
生等 举家
举家 仰戴鸿仁
仰戴鸿仁 永
永 永无
永无 既
既 矣
矣 激切
激切 上
上 呈
呈 批
批 的
的 是
是 尸场
尸场 检验
检验 证据确凿
证据确凿 且
且 并未
并未 用刑
用刑 尔兄
尔兄 自认
自认 斗杀
斗杀 招供
招供 在案
在案 今尔远
今尔远 来
来 并
并 非
非 目睹
目睹 何得
何得 捏词
捏词 妄控
妄控 理应
理应 治罪
治罪 姑念
姑念 为兄
为兄 情切
情切 且
且 恕
恕 不准
不准 薛姨妈
薛姨妈 听到
听到 那里
那里 说道
说道 这
这 不是
不是 救
救 不过
不过 来了
来了 么
么 这
这 怎么
怎么 好
好 呢
呢 宝钗
宝钗 道
道 二
二 哥
哥 的
的 书
书 还
还 没
没 看完
看完 后面
后面 还有
还有 呢
呢 因
因 又
又 念道
念道 有
有 要紧
要紧 的
的 问来
问来 使
使 便知
便知 薛姨妈
薛姨妈 便
便 问来
问来 人
人 因
因 说道
说道 县里
县里 早知
早知 我们
我们 的
的 家当
家当 充足
充足 须
须 得
得 在
在 京里谋
京里谋 干得
干得 大
大 情
情 再
再 送
送 一分
一分 大礼
大礼 还
还 可以
可以 复审
复审 从轻
从轻 定案
定案 太太
太太 此时
此时 必得
必得 快办
快办 再
再 迟
迟 了
了 就
就 怕
怕 大爷
大爷 要
要 受苦
受苦 了
了 薛姨妈
薛姨妈 听了
听了 叫
叫 小厮
小厮 自去
自去 即刻
即刻 又到
又到 贾府
贾府 与
与 王夫人
王夫人 说明
说明 原委
原委 恳求
恳求 贾
贾 政
政 贾政
贾政 只肯
只肯 托人
托人 与
与 知县
知县 说情
说情 不肯
不肯 提及
提及 银物
银物 薛姨妈
薛姨妈 恐
恐 不中用
不中用 求
求 凤姐
凤姐 与
与 贾琏
贾琏 说
说 了
了 花上
花上 几千
几千 银子
银子 才
才 把
把 知县
知县 买通
买通 薛蝌
薛蝌 那里
那里 也
也 便
便 弄通
弄通 了
了 然后
然后 知县
知县 挂牌
挂牌 坐堂
坐堂 传齐
传齐 了
了 一干
一干 邻保
邻保 证见
证见 尸
尸 亲人
亲人 等
等 监里
监里 提出
提出 薛蟠
薛蟠 刑房
刑房 书吏
书吏 俱
俱 一一
一一 点名
点名 知县
知县 便叫
便叫 地保
地保 对
对 明初
明初 供
供 又
又 叫
叫 尸亲
尸亲 张王氏
张王氏 并
并 尸叔
尸叔 张二
张二 问话
问话 张王氏
张王氏 哭
哭 禀
禀 小
小 的
的 的
的 男人
男人 是
是 张大
张大 南
南 乡里
乡里 住
住 十八年
十八年 头里
头里 死了
死了 大儿子
大儿子 二
二 儿子
儿子 也
也 都
都 死了
死了 光
光 留下
留下 这个
这个 死的
死的 儿子
儿子 叫
叫 张
张 三
三 今年
今年 二十三岁
二十三岁 还
还 没
没 有
有 娶
娶 女人
女人 呢
呢 为
为 小人
小人 家里
家里 穷
穷 没
没 得
得 养活
养活 在
在 李家
李家 店里
店里 做
做 当槽
当槽 儿
儿 的
的 那
那 一天
一天 晌午
晌午 李
李 家
家 店里
店里 打发
打发 人来
人来 叫
叫 俺
俺 说
说 你
你 儿子
儿子 叫人
叫人 打死
打死 了
了 我的
我的 青天
青天 老爷
老爷 小
小 的
的 就
就 唬
唬 死了
死了 跑
跑 到
到 那里
那里 看见
看见 我
我 儿子
儿子 头破血出
头破血出 的
的 躺
躺 在
在 地下
地下 喘气
喘气 儿
儿 问
问 他
他 话
话 也
也 说不出来
说不出来 不
不 多一会儿
多一会儿 就
就 死了
死了 小人
小人 就要
就要 揪住
揪住 这个
这个 小杂种
小杂种 拚命
拚命 众
众 衙役
衙役 吆喝
吆喝 一声
一声 张王氏
张王氏 便
便 磕头
磕头 道
道 求
求 青天
青天 老爷
老爷 伸冤
伸冤 小人
小人 就
就 只
只 这
这 一个
一个 儿子
儿子 了
了 知县
知县 便叫
便叫 下去
下去 又
又 叫
叫 李家店
李家店 的
的 人
人 问道
问道 那张
那张 三
三 是
是 在
在 你
你 店
店 内
内 佣工
佣工 的
的 么
么 那
那 李
李 二回
二回 道
道 不是
不是 佣工
佣工 是
是 做
做 当槽
当槽 儿
儿 的
的 知县
知县 道
道 那日
那日 尸
尸 场上
场上 你说
你说 张三是
张三是 薛
薛 蟠将
蟠将 碗
碗 砸死
砸死 的
的 你
你 亲眼
亲眼 见
见 的
的 么
么 李二
李二 说道
说道 小
小 的
的 在
在 柜上
柜上 听见
听见 说客
说客 房里
房里 要
要 酒
酒 不
不 多一回
多一回 便
便 听见
听见 说
说 不好
不好 了
了 打伤
打伤 了
了 小
小 的
的 跑
跑 进去
进去 只见
只见 张三
张三 躺
躺 在
在 地下
地下 也
也 不
不 能
能 言语
言语 小
小 的
的 便
便 喊
喊 禀
禀 地保
地保 一面
一面 报
报 他
他 母亲
母亲 去了
去了 他们
他们 到底
到底 怎样
怎样 打
打 的
的 实在
实在 不
不 知道
知道 求
求 太爷
太爷 问
问 那
那 喝酒
喝酒 的
的 便
便 知道
知道 了
了 知县
知县 喝道
喝道 初审
初审 口供
口供 你
你 是
是 亲见
亲见 的
的 怎么
怎么 如今
如今 说
说 没有
没有 见
见 李
李 二道
二道 小
小 的
的 前日
前日 唬
唬 昏
昏 了
了 乱说
乱说 衙役
衙役 又
又 吆喝
吆喝 了
了 一声
一声 知县
知县 便叫
便叫 吴良
吴良 问道
问道 你
你 是
是 同
同 在
在 一处
一处 喝酒
喝酒 的
的 么
么 薛蟠
薛蟠 怎么
怎么 打
打 的
的 据实
据实 供来
供来 吴良
吴良 说
说 小
小 的
的 那日
那日 在家
在家 这个
这个 薛
薛 大爷
大爷 叫
叫 我
我 喝酒
喝酒 他
他 嫌
嫌 酒
酒 不好
不好 要换
要换 张三
张三 不肯
不肯 薛大爷
薛大爷 生气
生气 把酒
把酒 向
向 他
他 脸上
脸上 泼去
泼去 不
不 晓得
晓得 怎么样
怎么样 就
就 碰
碰 在
在 那
那 脑袋
脑袋 上
上 了
了 这是
这是 亲眼
亲眼 见
见 的
的 知县
知县 道
道 胡说
胡说 前日
前日 尸
尸 场上
场上 薛
薛 蟠
蟠 自己
自己 认拿碗
认拿碗 砸死
砸死 的
的 你说
你说 你
你 亲眼
亲眼 见
见 的
的 怎么
怎么 今日
今日 的
的 供
供 不对
不对 掌嘴
掌嘴 衙役
衙役 答应
答应 着
着 要
要 打
打 吴良求
吴良求 着
着 说
说 薛蟠实
薛蟠实 没有
没有 和
和 张
张 三
三 打架
打架 酒碗
酒碗 失手
失手 碰
碰 在
在 脑袋
脑袋 上
上 的
的 求
求 老爷
老爷 问
问 薛蟠
薛蟠 便是
便是 恩典
恩典 了
了 知县
知县 叫
叫 上
上 薛蟠
薛蟠 问道
问道 你
你 与
与 张
张 三
三 到底
到底 有
有 什么
什么 仇隙
仇隙 毕竟
毕竟 是
是 如何
如何 死的
死的 实供
实供 上
上 来
来 薛蟠
薛蟠 道
道 求
求 太老爷
太老爷 开恩
开恩 小
小 的
的 实
实 没有
没有 打
打 他
他 为
为 他
他 不肯
不肯 换酒
换酒 故拿酒
故拿酒 泼
泼 地
地 不
不 想
想 一时
一时 失手
失手 酒碗误
酒碗误 碰
碰 在
在 他的
他的 脑袋
脑袋 上
上 小
小 的
的 即
即 忙
忙 掩
掩 他的
他的 血
血 那里
那里 知道
知道 再
再 掩不住
掩不住 血
血 淌
淌 多
多 了
了 过
过 一回
一回 就
就 死了
死了 前日
前日 尸
尸 场上
场上 怕
怕 太老爷
太老爷 要
要 打
打 所以
所以 说是
说是 拿
拿 碗
碗 砸
砸 他的
他的 只求
只求 太老爷
太老爷 开恩
开恩 知县
知县 便
便 喝道
喝道 好
好 个
个 糊涂
糊涂 东西
东西 本县
本县 问
问 你
你 怎么
怎么 砸
砸 他的
他的 你
你 便
便 供
供 说
说 恼
恼 他
他 不换
不换 酒
酒 才
才 砸
砸 的
的 今日
今日 又
又 供
供 是
是 失手
失手 碰
碰 的
的 知县
知县 假作
假作 声势
声势 要
要 打要
打要 夹
夹 薛蟠
薛蟠 一口
一口 咬
咬 定
定 知县
知县 叫
叫 仵作
仵作 将
将 前日
前日 尸场
尸场 填写
填写 伤痕
伤痕 据实
据实 报来
报来 仵作
仵作 禀报
禀报 说
说 前日
前日 验得
验得 张
张 三
三 尸身
尸身 无伤
无伤 惟
惟 囟门
囟门 有
有 磁器
磁器 伤
伤 长
长 一寸
一寸 七分
七分 深
深 五分
五分 皮开
皮开 囟门
囟门 骨脆
骨脆 裂破
裂破 三分
三分 实系
实系 磕碰
磕碰 伤
伤 知县
知县 查对
查对 尸格
尸格 相符
相符 早知
早知 书吏
书吏 改轻
改轻 也
也 不驳
不驳 诘
诘 胡乱
胡乱 便叫
便叫 画供
画供 张王氏
张王氏 哭喊
哭喊 道
道 青天
青天 老爷
老爷 前日
前日 听见
听见 还有
还有 多少
多少 伤
伤 怎么
怎么 今日
今日 都
都 没有
没有 了
了 知县
知县 道
道 这
这 妇人
妇人 胡说
胡说 现有
现有 尸格
尸格 你
你 不
不 知道
知道 么
么 叫
叫 尸叔
尸叔 张二
张二 便
便 问道
问道 你
你 侄儿
侄儿 身死
身死 你
你 知道
知道 有
有 几处
几处 伤
伤 张二忙
张二忙 供道
供道 脑袋
脑袋 上
上 一伤
一伤 知县
知县 道
道 可
可 又来
又来 叫
叫 书吏
书吏 将
将 尸格
尸格 给
给 张王氏
张王氏 瞧
瞧 去
去 并
并 叫
叫 地保
地保 尸叔
尸叔 指明
指明 与
与 他
他 瞧
瞧 现有
现有 尸场
尸场 亲押
亲押 证见
证见 俱供
俱供 并未
并未 打架
打架 不
不 为
为 斗殴
斗殴 只
只 依
依 误伤
误伤 吩咐
吩咐 画供
画供 将
将 薛蟠
薛蟠 监禁
监禁 候详
候详 馀
馀 令
令 原保
原保 领出
领出 退堂
退堂 张王氏
张王氏 哭
哭 着
着 乱
乱 嚷
嚷 知县
知县 叫
叫 众
众 衙役
衙役 撵
撵 他
他 出去
出去 张二
张二 也
也 劝
劝 张王氏
张王氏 道
道 实在
实在 误伤
误伤 怎么
怎么 赖人
赖人 现在
现在 太老爷
太老爷 断明
断明 别
别 再
再 胡闹
胡闹 了
了 薛蝌
薛蝌 在外
在外 打听
打听 明白
明白 心内
心内 喜欢
喜欢 便
便 差人
差人 回家
回家 送信
送信 等
等 批详
批详 回来
回来 便
便 好
好 打点
打点 赎罪
赎罪 且
且 住着
住着 等
等 信
信 只听
只听 路上
路上 三三两两
三三两两 传说
传说 有个
有个 贵妃
贵妃 薨
薨 了
了 皇上
皇上 辍朝
辍朝 三日
三日 这里
这里 离陵
离陵 寝
寝 不远
不远 知县
知县 办差
办差 垫
垫 道
道 一时
一时 料
料 着
着 不得闲
不得闲 住在
住在 这里
这里 无益
无益 不如
不如 到
到 监
监 告诉
告诉 哥哥
哥哥 安心
安心 等
等 着
着 我
我 回家
回家 去
去 过
过 几日
几日 再来
再来 薛蟠
薛蟠 也
也 怕
怕 母亲
母亲 痛苦
痛苦 带信
带信 说
说 我
我 无事
无事 必
必 须
须 衙门
衙门 再
再 使费
使费 几次
几次 便
便 可
可 回家
回家 了
了 只是
只是 别
别 心疼
心疼 银子
银子 钱
钱 薛蝌
薛蝌 留下
留下 李祥
李祥 在
在 此
此 照料
照料 一
一 径
径 回家
回家 见
见 了
了 薛姨妈
薛姨妈 陈说
陈说 知县
知县 怎样
怎样 徇情
徇情 怎样
怎样 审断
审断 终定
终定 了
了 误伤
误伤 将来
将来 尸亲
尸亲 那
那 里
里 再
再 花些
花些 银子
银子 一准
一准 赎罪
赎罪 便
便 没事
没事 了
了 薛姨妈
薛姨妈 听说
听说 暂且
暂且 放心
放心 说
说 正盼
正盼 你
你 来
来 家中
家中 照
照 应
应 贾府
贾府 里
里 本该
本该 谢去
谢去 况且
况且 周贵妃
周贵妃 薨
薨 了
了 他们
他们 天天
天天 进去
进去 家里
家里 空落落
空落落 的
的 我
我 想着
想着 要
要 去
去 替
替 姨太太
姨太太 那边
那边 照应
照应 照应
照应 作伴儿
作伴儿 只是
只是 咱们
咱们 家
家 又
又 没人
没人 你
你 这来
这来 的
的 正好
正好 薛蝌
薛蝌 道
道 我
我 在
在 外头
外头 原
原 听见
听见 说是
说是 贾妃
贾妃 薨
薨 了
了 这么
这么 才
才 赶回来
赶回来 的
的 我们
我们 娘娘
娘娘 好好儿
好好儿 的
的 怎么
怎么 就
就 死了
死了 薛姨妈
薛姨妈 道
道 上年
上年 原病
原病 过
过 一次
一次 也
也 就好
就好 了
了 这回
这回 又
又 没
没 听见
听见 娘娘
娘娘 有
有 什么
什么 病
病 只闻
只闻 那府
那府 里头
里头 几天
几天 老太太
老太太 不大
不大 受用
受用 合上
合上 眼便
眼便 看见
看见 元妃
元妃 娘娘
娘娘 众人
众人 都
都 不
不 放心
放心 直至
直至 打听
打听 起来
起来 又
又 没有
没有 什么
什么 事
事 到了
到了 大
大 前儿
前儿 晚上
晚上 老太太
老太太 亲口说
亲口说 是
是 怎么
怎么 元妃
元妃 独自
独自 一个
一个 人到
人到 我
我 这里
这里 众人
众人 只
只 道是
道是 病中
病中 想
想 的话
的话 总不信
总不信 老太太
老太太 又说
又说 你们
你们 不
不 信
信 元妃
元妃 还
还 和
和 我
我 说是
说是 荣华
荣华 易尽
易尽 须要
须要 退步抽身
退步抽身 众人
众人 都说
都说 谁
谁 不
不 想到
想到 这是
这是 有
有 年纪
年纪 的
的 人
人 思前想后
思前想后 的
的 心事
心事 所以
所以 也
也 不当
不当 件
件 事
事 恰好
恰好 第二天
第二天 早起
早起 里头
里头 吵嚷
吵嚷 出来
出来 说
说 娘娘
娘娘 病重
病重 宣
宣 各
各 诰命
诰命 进去
进去 请安
请安 他们
他们 就
就 惊疑
惊疑 的
的 了不得
了不得 赶着
赶着 进去
进去 他们
他们 还
还 没有
没有 出来
出来 我
我 们
们 家里
家里 已
已 听见
听见 周贵妃
周贵妃 薨
薨 逝
逝 了
了 你
你 想
想 外头
外头 的
的 讹言
讹言 家里
家里 的
的 疑心
疑心 恰碰
恰碰 在
在 一处
一处 可奇
可奇 不
不 奇
奇 宝钗
宝钗 道
道 不
不 但是
但是 外头
外头 的
的 讹言
讹言 舛错
舛错 便
便 在
在 家里
家里 的
的 一
一 听见
听见 娘娘
娘娘 两个
两个 字
字 也
也 就
就 都
都 忙
忙 了
了 过后
过后 才
才 明白
明白 这
这 两天
两天 那府
那府 里
里 这些
这些 丫头
丫头 婆子
婆子 来说
来说 他们
他们 早
早 知道
知道 不是
不是 咱们
咱们 家
家 的
的 娘娘
娘娘 我
我 说
说 你们
你们 那里
那里 拿得定
拿得定 呢
呢 他
他 说道
说道 前
前 几年
几年 正月
正月 外省
外省 荐
荐 了
了 一个
一个 算
算 命
命 的
的 说是
说是 很
很 准的
准的 老太太
老太太 叫人
叫人 将
将 元
元 妃
妃 八字
八字 夹
夹 在
在 丫头
丫头 们
们 八字
八字 里头
里头 送出去
送出去 叫
叫 他
他 推算
推算 他
他 独说
独说 这
这 正月初一
正月初一 日
日 生日
生日 的
的 那位
那位 姑娘
姑娘 只怕
只怕 时辰
时辰 错
错 了
了 不然
不然 真是
真是 个
个 贵人
贵人 也
也 不能
不能 在
在 这府
这府 中
中 老爷
老爷 和
和 众人
众人 说
说 不管
不管 他错
他错 不错
不错 照
照 八字
八字 算去
算去 那
那 先生
先生 便说
便说 甲
甲 申年
申年 正月
正月 丙寅
丙寅 这
这 四个
四个 字内
字内 有
有 伤官
伤官 败财
败财 惟
惟 申
申 字
字 内
内 有
有 正官
正官 禄马
禄马 这
这 就是
就是 家里
家里 养
养 不住
不住 的
的 也
也 不见
不见 什么
什么 好
好 这
这 日子
日子 是
是 乙卯
乙卯 初春
初春 木旺
木旺 虽
虽 是
是 比肩
比肩 那里
那里 知道
知道 愈
愈 比
比 愈好
愈好 就
就 像
像 那个
那个 好
好 木料
木料 愈经
愈经 斫
斫 削
削 才
才 成大器
成大器 独
独 喜得
喜得 时上
时上 什
什 么
么 辛金
辛金 为贵
为贵 什么
什么 巳
巳 中
中 正官
正官 禄马
禄马 独旺
独旺 这
这 叫作
叫作 飞
飞 天禄
天禄 马格
马格 又说
又说 什么
什么 日
日 逢
逢 专禄
专禄 贵重
贵重 的
的 很
很 天月
天月 二德
二德 坐
坐 本命
本命 贵受
贵受 椒
椒 房之宠
房之宠 这位
这位 姑娘
姑娘 若是
若是 时辰
时辰 准
准 了
了 定是
定是 一位
一位 主子
主子 娘娘
娘娘 这
这 不是
不是 算准
算准 了
了 么
么 我们
我们 还
还 记得
记得 说
说 可惜
可惜 荣华
荣华 不久
不久 只
只 怕
怕 遇着
遇着 寅
寅 年
年 卯月
卯月 这
这 就是
就是 比
比 而
而 又
又 比
比 劫
劫 而
而 又
又 劫
劫 譬如
譬如 好木
好木 太要
太要 做
做 玲珑剔透
玲珑剔透 本质
本质 就
就 不坚
不坚 了
了 他们
他们 把
把 这些
这些 话
话 都
都 忘记
忘记 了
了 只管
只管 瞎忙
瞎忙 我
我 才
才 想
想 起来
起来 告
告 诉
诉 我们
我们 大
大 奶奶
奶奶 今年
今年 那里
那里 是
是 寅
寅 年
年 卯月
卯月 呢
呢 宝钗
宝钗 尚未
尚未 述
述 完
完 这话
这话 薛蝌
薛蝌 急道
急道 且别
且别 管
管 人家
人家 的
的 事
事 既有
既有 这个
这个 神仙
神仙 算命
算命 的
的 我想
我想 哥哥
哥哥 今年
今年 什么
什么 恶星
恶星 照命
照命 遭
遭 这么
这么 横祸
横祸 快
快 开
开 八字
八字 儿
儿 我
我 给
给 他
他 算
算 去
去 看
看 有
有 妨碍
妨碍 么
么 宝钗
宝钗 道
道 他
他 是
是 外省
外省 来
来 的
的 不知
不知 今年
今年 在
在 京
京 不
不 在
在 了
了 说着
说着 便
便 打点
打点 薛姨妈
薛姨妈 往
往 贾府
贾府 去
去 到了
到了 那里
那里 只有
只有 李纨
李纨 探春
探春 等
等 在家
在家 接着
接着 便
便 问道
问道 大爷
大爷 的
的 事
事 怎么样
怎么样 了
了 薛姨
薛姨 妈道
妈道 等
等 详
详 了
了 上司
上司 才定
才定 看来
看来 也
也 到
到 不了
不了 死罪
死罪 这才
这才 大家
大家 放心
放心 探春
探春 便道
便道 昨晚
昨晚 太太
太太 想着
想着 说
说 上
上 回家
回家 里
里 有事
有事 全仗
全仗 姨太太
姨太太 照应
照应 如今
如今 自己
自己 有事
有事 也
也 难
难 提
提 了
了 心里
心里 只是
只是 不
不 放心
放心 薛姨妈
薛姨妈 道
道 我
我 在
在 家里
家里 也是
也是 难过
难过 只是
只是 你
你 大哥
大哥 遭
遭 了
了 这事
这事 你
你 二
二 兄弟
兄弟 又
又 办事
办事 去了
去了 家里
家里 你
你 姐姐
姐姐 一个人
一个人 中
中 什么
什么 用
用 况且
况且 我们
我们 媳妇儿
媳妇儿 又是
又是 个
个 不大
不大 晓事
晓事 的
的 所以
所以 不能
不能 脱身
脱身 过来
过来 目今
目今 那里
那里 知县
知县 也
也 正为
正为 预备
预备 周贵妃
周贵妃 的
的 差使
差使 不得
不得 了结
了结 案件
案件 所以
所以 你
你 二
二 兄弟
兄弟 回来
回来 了
了 我
我 才
才 得
得 过来
过来 看看
看看 李纨
李纨 便道
便道 请
请 姨太太
姨太太 这里
这里 住
住 几天
几天 更好
更好 薛
薛 姨妈
姨妈 点头
点头 道
道 我
我 也
也 要
要 在
在 这边
这边 给
给 你们
你们 姐妹
姐妹 们
们 作
作 作伴儿
作伴儿 就
就 只
只 你
你 宝妹妹
宝妹妹 冷静
冷静 些
些 惜春
惜春 道
道 姨妈
姨妈 要
要 惦着
惦着 为什么
为什么 不
不 把
把 宝姐姐
宝姐姐 也
也 请
请 过来
过来 薛姨妈
薛姨妈 笑
笑 着
着 说道
说道 使不得
使不得 惜春
惜春 道
道 怎么
怎么 使不得
使不得 他
他 先
先 怎么
怎么 住着
住着 来
来 呢
呢 李纨
李纨 道
道 你
你 不
不 懂
懂 的
的 人家
人家 家里
家里 如今
如今 有事
有事 怎么
怎么 来
来 呢
呢 惜春
惜春 也
也 信
信 以为
以为 实
实 不便
不便 再
再 问
问 正说
正说 着
着 贾母
贾母 等
等 回来
回来 见
见 了
了 薛姨妈
薛姨妈 也
也 顾不得
顾不得 问好
问好 便
便 问
问 薛蟠
薛蟠 的
的 事
事 薛姨妈
薛姨妈 细
细 述
述 了
了 一遍
一遍 宝玉
宝玉 在
在 旁
旁 听见
听见 什么
什么 蒋玉函
蒋玉函 一段
一段 当着
当着 人
人 不问
不问 心里
心里 打量
打量 是
是 他
他 既
既 回
回 了
了 京
京 怎么
怎么 不来
不来 瞧
瞧 我
我 又见
又见 宝钗
宝钗 也
也 不
不 过来
过来 不知
不知 是
是 怎么
怎么 个
个 原故
原故 心内
心内 正自
正自 呆呆
呆呆 的
的 想
想 呢
呢 恰好
恰好 黛玉
黛玉 也
也 来
来 请安
请安 宝玉
宝玉 稍觉
稍觉 心里
心里 喜欢
喜欢 便
便 把
把 想
想 宝钗
宝钗 来
来 的
的 念头
念头 打断
打断 同着
同着 姊妹
姊妹 们
们 在
在 老太太
老太太 那里
那里 吃
吃 了
了 晚饭
晚饭 大家
大家 散
散 了
了 薛姨妈
薛姨妈 将
将 就
就 住在
住在 老太太
老太太 的
的 套间
